,NIP,Cl_T
1049,N201806639,1
1050,N201806643,2
1051,N201806652,1
1052,N201806655,1
1053,N201806679,1
1054,N201806682,1
1055,N201806690,1
1056,N201806717,5
1057,N201806718,1
1058,N201806731,2
1059,N201806739,1
1060,N201806746,5
1061,N201806749,1
1062,N201806753,1
1063,N201806767,5
1064,N201806770,1
1065,N201806778,1
1066,N201806786,5
1067,N201806789,1
1068,N201806796,1
1069,N201806798,1
1070,N201806804,5
1071,N201806805,1
1072,N201806831,2
1073,N201806851,1
1074,N201806854,1
1075,N201806873,1
1076,N201806879,1
1077,N201806883,1
1078,N201806895,1
1079,N201806902,5
1080,N201806903,1
1081,N201806908,1
1082,N201806911,1
1083,N201806918,1
1084,N201806931,1
1085,N201806938,1
1086,N201806940,1
1087,N201806946,5
1088,N201806947,1
1089,N201806956,5
1090,N201806993,2
1091,N201806996,1
1092,N201807009,5
1093,N201807015,1
1094,N201807023,5
1095,N201807030,3
1096,N201807036,1
1097,N201807038,1
1098,N201807044,1
1099,N201807048,1
1100,N201807060,1
1101,N201807061,1
1102,N201807064,1
1103,N201807067,1
1104,N201807068,2
1105,N201807070,1
1106,N201807077,5
1107,N201807091,2
1108,N201807092,5
1109,N201807105,5
1110,N201807130,1
1111,N201807136,1
1112,N201807140,2
1113,N201807157,1
1114,N201807163,1
1115,N201807177,1
1116,N201807179,1
1117,N201807191,1
1118,N201807197,1
1119,N201807209,1
1120,N201807215,1
1121,N201807220,1
1122,N201807224,1
1123,N201807231,2
1124,N201807236,1
1125,N201807248,1
1126,N201807275,1
1127,N201807288,1
1128,N201807295,2
1129,N201807310,1
1130,N201807316,2
1131,N201807335,1
1132,N201807340,1
1133,N201807347,1
1134,N201807348,1
1135,N201807350,2
1136,N201807368,1
1137,N201807376,5
1138,N201807389,1
1139,N201807395,1
1140,N201807407,1
1141,N201807409,1
1142,N201807410,1
1143,N201807421,1
1144,N201807424,5
1145,N201807435,1
1146,N201807436,1
1147,N201807437,1
1148,N201807452,5
1149,N201900001,2
1150,N201900002,1
1151,N201900003,2
1152,N201900004,1
1153,N201900005,2
1154,N201900006,1
1155,N201900007,5
1156,N201900008,2
1157,N201900009,2
1158,N201900010,2
1159,N201900011,2
1160,N201900012,2
1161,N201900013,2
1162,N201900014,2
1163,N201900015,1
1164,N201900016,1
1165,N201900017,1
1166,N201900018,2
1167,N201900019,2
1168,N201900020,2
1169,N201900021,1
1170,N201900022,1
1171,N201900023,1
1172,N201900024,2
1173,N201900026,1
1174,N201900027,1
1175,N201900028,2
1176,N201900029,1
1177,N201900030,2
1178,N201900032,2
1179,N201900033,2
1180,N201900034,2
1181,N201900036,1
1182,N201900037,2
1183,N201900038,1
1184,N201900039,2
1185,N201900040,1
1186,N201900041,1
1187,N201900042,1
1188,N201900043,1
1189,N201900044,1
1190,N201900045,1
1191,N201900046,1
1192,N201900047,1
1193,N201900049,5
1194,N201900053,2
1195,N201900054,2
1196,N201900055,1
1197,N201900056,2
1198,N201900057,2
1199,N201900058,2
1200,N201900413,1
