,NIP,Concat_Cl_P,X_abscisse
889,N198903744,9,74.02164862614488
890,N201401944,9,74.10491257285595
891,N201304295,9,74.18817651956704
892,N199501208,9,74.27144046627811
893,N201805045,9,74.35470441298918
894,N201307216,9,74.43796835970025
895,N201703467,9,74.52123230641132
896,N201801736,9,74.6044962531224
897,N201701530,9,74.68776019983348
898,N201804110,9,74.77102414654455
899,N200703362,9,74.85428809325562
900,N200501731,9,74.9375520399667
901,N201306174,9,75.02081598667777
902,N201807038,9,75.10407993338885
903,N201401767,9,75.18734388009992
904,N201600593,9,75.27060782681099
905,N201402857,9,75.35387177352207
906,N201004260,9,75.43713572023314
907,N201701219,9,75.52039966694421
908,N201700829,9,75.60366361365529
909,N200500467,9,75.68692756036637
910,N201302006,9,75.77019150707744
911,N201605814,9,75.85345545378851
912,N199300284,9,75.93671940049958
913,N199100865,9,76.01998334721065
914,N201602351,9,76.10324729392174
915,N201805132,9,76.18651124063281
916,N201707096,10,76.26977518734388
917,N201801517,10,76.35303913405495
918,N201706511,10,76.43630308076604
919,N201802127,10,76.51956702747711
920,N201801450,10,76.60283097418818
921,N199704012,10,76.68609492089925
922,N201506900,10,76.76935886761032
923,N200801154,10,76.8526228143214
924,N201802002,10,76.93588676103248
925,N201803724,10,77.01915070774355
926,N201802929,10,77.10241465445462
927,N199100051,10,77.18567860116569
928,N201802802,10,77.26894254787678
929,N201804221,10,77.35220649458785
930,N201805111,10,77.43547044129892
931,N201804428,10,77.51873438800999
932,N201804651,10,77.60199833472107
